title,artist,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
The Edge Of Glory,Lady Gaga,3.4854368932038833,4.142857142857142,3.3917525773195876,4.724137931034482,1.5945945945945947,2.4693877551020407,3.579310344827586,1.0,1.3333333333333333,3.707070707070707
E.T.,Katy Perry,3.9514563106796117,4.551020408163265,3.556701030927835,4.793103448275862,3.0,4.1020408163265305,2.3241379310344827,1.0808080808080809,2.5,3.6666666666666665
Till the World Ends,Britney Spears,3.563106796116505,3.8979591836734695,3.845360824742268,4.724137931034482,2.081081081081081,2.836734693877551,2.43448275862069,1.0808080808080809,1.5833333333333335,3.6262626262626263
I Wanna Go,Britney Spears,3.5242718446601944,3.2448979591836733,3.88659793814433,4.655172413793103,2.7837837837837838,4.224489795918368,2.048275862068966,1.0,1.3333333333333333,3.585858585858586
Blow,Kesha,3.3300970873786406,3.979591836734694,4.092783505154639,4.862068965517242,1.3783783783783785,4.3061224489795915,2.186206896551724,1.0,1.3333333333333333,3.585858585858586
You And I,Lady Gaga,3.466019417475728,3.857142857142857,3.1443298969072164,4.793103448275862,1.4864864864864864,3.122448979591837,3.386206896551724,1.3636363636363638,1.4166666666666667,3.585858585858586
Judas,Lady Gaga,3.5436893203883497,4.795918367346939,3.7216494845360826,4.862068965517242,2.4594594594594597,3.163265306122449,2.586206896551724,1.0,1.5833333333333335,3.5454545454545454
Tonight (I'm Fuckin' You),Enrique Iglesias,3.4466019417475726,4.63265306122449,3.6804123711340204,4.862068965517242,1.6486486486486487,2.3061224489795915,2.3517241379310345,1.121212121212121,1.4166666666666667,3.5454545454545454
Please Don't Go,Mike Posner,3.3300970873786406,4.591836734693878,3.88659793814433,4.862068965517242,1.7027027027027026,3.693877551020408,1.8689655172413793,1.0,1.25,3.5454545454545454
We Found Love,Rihanna,3.4854368932038833,4.142857142857142,4.010309278350515,4.862068965517242,1.5945945945945947,3.4489795918367347,2.117241379310345,1.121212121212121,1.3333333333333333,3.4646464646464645
Marry The Night,Lady Gaga,3.5436893203883497,4.591836734693878,3.515463917525773,4.862068965517242,3.4864864864864864,2.5510204081632653,2.806896551724138,1.0,1.5,3.4646464646464645
1+1,Beyonc̩,2.2233009708737863,2.5510204081632653,2.2371134020618557,4.655172413793103,1.3783783783783785,2.0612244897959187,2.931034482758621,2.5353535353535355,1.25,3.4242424242424243
Hold It Against Me,Britney Spears,3.5825242718446604,3.938775510204082,3.6804123711340204,4.793103448275862,2.2972972972972974,2.5918367346938775,2.310344827586207,1.0404040404040404,1.3333333333333333,3.3838383838383836
I'm Into You,Jennifer Lopez,2.6310679611650487,4.061224489795919,3.4329896907216493,4.862068965517242,1.4324324324324325,3.857142857142857,1.910344827586207,1.0808080808080809,2.166666666666667,3.3838383838383836
Papi,Jennifer Lopez,3.3300970873786406,4.3061224489795915,3.9278350515463916,4.793103448275862,3.0,4.63265306122449,2.227586206896552,1.5252525252525253,1.5,3.3434343434343434
Cheers (Drink To That),Rihanna,2.5533980582524274,4.714285714285714,3.3917525773195876,4.862068965517242,2.5675675675675675,3.979591836734694,2.7655172413793103,1.0808080808080809,1.3333333333333333,3.3434343434343434
S&M Remix,Rihanna,3.4854368932038833,4.3061224489795915,4.381443298969073,4.931034482758621,1.2702702702702702,4.63265306122449,2.6965517241379313,1.202020202020202,1.4166666666666667,3.1818181818181817
Jar of Hearts,Christina Perri,2.4563106796116507,2.428571428571429,2.443298969072165,4.724137931034482,1.6486486486486487,1.3673469387755102,2.5586206896551724,3.9494949494949494,1.25,3.0202020202020203
Turning Page,Sleeping At Last,3.4271844660194173,2.5510204081632653,2.2371134020618557,4.586206896551724,1.5945945945945947,1.7755102040816326,2.6689655172413795,4.6767676767676765,1.25,2.8585858585858586
Super Bass,Nicki Minaj,3.466019417475728,4.020408163265306,4.175257731958762,4.655172413793103,3.1621621621621623,3.4081632653061225,1.9241379310344828,1.2424242424242424,2.916666666666667,2.5353535353535355
Raise Your Glass,P!nk,3.3689320388349513,3.6122448979591835,3.804123711340206,4.655172413793103,1.6486486486486487,3.2857142857142856,2.020689655172414,1.0,2.0,2.5353535353535355
Invading My Mind,Jennifer Lopez,3.504854368932039,4.591836734693878,4.010309278350515,4.862068965517242,2.72972972972973,3.816326530612245,1.9241379310344828,1.0808080808080809,1.5833333333333335,2.2525252525252526
Moment 4 Life - Album Version (Edited),Nicki Minaj,3.5242718446601944,4.591836734693878,3.0618556701030926,4.862068965517242,2.1891891891891895,2.510204081632653,3.0,2.5757575757575757,4.166666666666666,2.1313131313131315
Last Friday Night (T.G.I.F.),Katy Perry,3.4466019417475726,4.3061224489795915,3.6804123711340204,4.862068965517242,4.621621621621621,3.938775510204082,2.3379310344827586,1.0,1.3333333333333333,2.090909090909091
Firework,Katy Perry,3.407766990291262,4.387755102040817,3.6391752577319587,4.793103448275862,1.5945945945945947,3.6530612244897958,2.296551724137931,1.5656565656565657,1.4166666666666667,2.0101010101010104
Muny - Album Version (Edited),Nicki Minaj,2.9029126213592233,3.938775510204082,4.298969072164948,4.793103448275862,2.027027027027027,3.163265306122449,2.282758620689655,3.2626262626262625,3.75,1.2828282828282829
Titanium (feat. Sia),David Guetta,3.4466019417475726,4.224489795918368,3.4742268041237114,4.862068965517242,1.7027027027027026,2.2244897959183674,2.5310344827586206,1.2828282828282829,1.8333333333333335,4.232323232323232
Locked Out of Heaven,Bruno Mars,3.796116504854369,3.857142857142857,4.010309278350515,4.862068965517242,2.6756756756756754,4.551020408163265,2.3655172413793104,1.202020202020202,1.3333333333333333,4.191919191919192
Paradise,Coldplay,3.7184466019417477,3.4081632653061225,2.8556701030927836,4.655172413793103,1.4324324324324325,1.816326530612245,3.0,1.202020202020202,1.25,4.191919191919192
Payphone,Maroon 5,3.1359223300970873,4.061224489795919,4.051546391752577,4.793103448275862,2.5675675675675675,3.2448979591836733,2.3379310344827586,1.0808080808080809,1.3333333333333333,4.191919191919192
What Makes You Beautiful,One Direction,3.4271844660194173,4.224489795918368,4.010309278350515,5.0,1.3243243243243243,4.63265306122449,1.910344827586207,1.0404040404040404,1.5833333333333335,4.151515151515151
I Knew You Were Trouble.,Taylor Swift,2.4951456310679614,2.9183673469387754,3.556701030927835,4.655172413793103,1.1621621621621623,3.7755102040816326,2.186206896551724,1.0,1.3333333333333333,4.111111111111111
Call Me Maybe,Carly Rae Jepsen,3.3300970873786406,3.36734693877551,4.216494845360825,4.655172413793103,1.5945945945945947,3.693877551020408,1.8137931034482757,1.0404040404040404,1.3333333333333333,4.070707070707071
